partitionId	taskId	grid_id	wkt	area	perimeter	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName	epsilon
509	21291	509	POLYGON ((1968366.225 560184.2615, 1968366.225 560817.2698, 1968867.5938 560817.2698, 1968867.5938 560184.2615, 1968366.225 560184.2615))	317370.5983253633	2268.754156250041	12		41	21291	1594773025365	1594773025491	126	5	6	mr-04	0	false	0	true	110	23	11	11	0	0	967	0	0	0	0	0	0	0	0	76	4156	46	10	36	0	0	0	0627	Disks phase	10.0
1373	22155	1373	POLYGON ((1982091.1954 561826.1267, 1982091.1954 561845.9082, 1982106.8632 561845.9082, 1982106.8632 561826.1267, 1982091.1954 561826.1267))	309.9322249286175	70.89856738294475	12		41	22155	1594773026902	1594773030380	3478	5	12	mr-10	0	false	0	true	3461	2855	12	12	0	410	1010	0	0	0	0	0	0	0	0	187	24432	264	18	246	0	0	0	0627	Disks phase	10.0
3036	23818	3036	POLYGON ((1982905.9197 539927.996, 1982905.9197 541194.0126, 1983908.6572 541194.0126, 1983908.6572 539927.996, 1982905.9197 539927.996))	1269482.3933013363	4537.508312499849	12		41	23818	1594773031769	1594773031825	56	20	7	mr-02	0	false	0	true	23	20	13	13	0	0	967	0	0	0	0	0	0	0	0	0	5960	66	2	64	0	0	0	0627	Disks phase	10.0
175	20957	175	POLYGON ((1968115.5406 566514.3444, 1968115.5406 566830.8486, 1968366.225 566830.8486, 1968366.225 566514.3444, 1968115.5406 566514.3444))	79342.64958134083	1134.3770781250205	12		41	20957	1594773024903	1594773025113	210	11	1	mr-01	0	false	0	true	187	24	12	11	0	15	1010	0	0	0	0	0	0	0	0	156	2528	28	8	20	0	0	0	0627	Disks phase	10.0
1609	22391	1609	POLYGON ((1993434.6641 563349.303, 1993434.6641 563982.3113, 1993936.0329 563982.3113, 1993936.0329 563349.303, 1993434.6641 563349.303))	317370.5983253633	2268.754156250041	12		41	22391	1594773029009	1594773029136	127	9	5	mr-08	0	false	0	true	100	12	18	17	0	0	967	0	0	0	0	0	0	0	0	86	2418	26	2	24	0	0	0	0627	Disks phase	10.0
2288	23070	2288	POLYGON ((1969870.3314 541194.0126, 1969870.3314 542460.0292, 1970873.0689 542460.0292, 1970873.0689 541194.0126, 1969870.3314 541194.0126))	1269482.3933013363	4537.508312499849	12		41	23070	1594773030097	1594773030137	40	3	11	mr-03	0	false	0	true	24	21	13	13	0	0	967	0	0	0	0	0	0	0	0	0	6920	76	6	70	0	0	0	0627	Disks phase	10.0
2159	22941	2159	POLYGON ((1964856.6436 543409.5416, 1964856.6436 543726.0458, 1965107.328 543726.0458, 1965107.328 543409.5416, 1964856.6436 543409.5416))	79342.64958134083	1134.3770781250205	12		41	22941	1594773029891	1594773030093	202	8	6	mr-04	0	false	0	true	181	24	13	12	0	0	967	0	0	0	0	0	0	0	0	153	6678	74	6	68	0	0	0	0627	Disks phase	10.0
2088	22870	2088	POLYGON ((1974131.966 548315.3559, 1974131.966 548473.608, 1974257.3082 548473.608, 1974257.3082 548315.3559, 1974131.966 548315.3559))	19835.66239532791	567.1885390623938	12		41	22870	1594773029837	1594773029869	32	7	8	mr-11	0	false	0	true	13	12	12	12	0	0	967	0	0	0	0	0	0	0	0	0	544	6	0	6	0	0	0	0627	Disks phase	10.0
2507	23289	2507	POLYGON ((1972878.5441 541827.0209, 1972878.5441 542460.0292, 1973379.9128 542460.0292, 1973379.9128 541827.0209, 1972878.5441 541827.0209))	317370.5983253633	2268.754156250041	12		41	23289	1594773030799	1594773031078	279	9	1	mr-01	0	false	0	true	255	16	15	14	0	0	967	0	0	0	0	0	0	0	0	237	3966	44	6	38	0	0	0	0627	Disks phase	10.0
2361	23143	2361	POLYGON ((1967488.8297 536129.9462, 1967488.8297 536288.1983, 1967614.1719 536288.1983, 1967614.1719 536129.9462, 1967488.8297 536129.9462))	19835.66239532791	567.1885390623938	12		41	23143	1594773030522	1594773030806	284	12	8	mr-11	0	false	0	true	257	21	15	11	0	0	967	0	0	0	0	0	0	0	0	229	3794	42	4	38	0	0	0	0627	Disks phase	10.0
