partitionId	taskId	grid_id	wkt	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName
374	10476	374	POLYGON ((1982153.304 561448.7781, 1982153.304 561765.2197, 1982403.9259 561765.2197, 1982403.9259 561448.7781, 1982153.304 561448.7781))	12		41	10476	1594667754679	1594667754978	299	5	9	mr-10	0	false	0	true	289	275	5	4	0	0	967	0	0	0	0	0	0	0	0	1	20192	218	22	196	0	0	0	0624	Disks phase
412	10514	412	POLYGON ((1991927.5577 558917.2449, 1991927.5577 561448.7781, 1993932.5329 561448.7781, 1993932.5329 558917.2449, 1991927.5577 558917.2449))	12		41	10514	1594667754704	1594667755299	595	3	8	mr-03	0	false	0	true	585	58	7	4	0	224	1010	0	0	0	0	0	0	0	0	218	23084	252	24	228	0	0	0	0624	Disks phase
810	10912	810	POLYGON ((1982403.9259 533918.3546, 1982403.9259 534234.7963, 1982654.5478 534234.7963, 1982654.5478 533918.3546, 1982403.9259 533918.3546))	12		41	10912	1594667755923	1594667756138	215	6	9	mr-10	0	false	0	true	205	43	4	4	0	0	967	0	0	0	0	0	0	0	0	155	7756	86	8	78	0	0	0	0624	Disks phase
626	10728	626	POLYGON ((1967867.8562 536449.8878, 1967867.8562 536766.3295, 1968118.4781 536766.3295, 1968118.4781 536449.8878, 1967867.8562 536449.8878))	12		41	10728	1594667755360	1594667755598	238	5	4	mr-02	0	false	0	true	230	24	3	3	0	0	967	0	0	0	0	0	0	0	0	203	4588	50	2	48	0	0	0	0624	Disks phase
90	10192	90	POLYGON ((1964359.1498 563347.428, 1964359.1498 563980.3113, 1964860.3936 563980.3113, 1964860.3936 563347.428, 1964359.1498 563347.428))	12		41	10192	1594667753902	1594667754285	383	34	9	mr-10	0	false	0	true	275	151	74	47	0	0	967	0	0	0	0	0	0	0	0	1	16696	182	14	168	0	0	0	0624	Disks phase
272	10374	272	POLYGON ((1985912.6324 566511.8444, 1985912.6324 569043.3776, 1987917.6075 569043.3776, 1987917.6075 566511.8444, 1985912.6324 566511.8444))	12		41	10374	1594667754477	1594667754711	234	6	9	mr-10	0	false	0	true	221	71	7	4	0	0	967	0	0	0	0	0	0	0	0	137	28148	304	24	280	0	0	0	0624	Disks phase
517	10619	517	POLYGON ((1976890.2443 550056.8787, 1976890.2443 551322.6453, 1977892.7319 551322.6453, 1977892.7319 550056.8787, 1976890.2443 550056.8787))	12		41	10619	1594667755042	1594667755332	290	4	2	mr-08	0	false	0	true	130	32	156	4	0	139	1010	0	0	0	0	0	0	0	0	89	12520	138	18	120	0	0	0	0624	Disks phase
700	10802	700	POLYGON ((1983907.6572 551322.6453, 1983907.6572 553854.1785, 1985912.6324 553854.1785, 1985912.6324 551322.6453, 1983907.6572 551322.6453))	12		41	10802	1594667755609	1594667755930	321	4	3	mr-04	0	false	0	true	311	46	6	5	0	8	1010	0	0	0	0	0	0	0	0	250	22146	236	10	226	0	0	0	0624	Disks phase
854	10956	854	POLYGON ((1987917.6075 537399.2128, 1987917.6075 538664.9794, 1988920.0951 538664.9794, 1988920.0951 537399.2128, 1987917.6075 537399.2128))	12		41	10956	1594667755957	1594667756168	211	4	9	mr-10	0	false	0	true	200	27	7	4	0	0	967	0	0	0	0	0	0	0	0	171	6384	70	2	68	0	0	0	0624	Disks phase
563	10665	563	POLYGON ((1969371.5876 542778.7208, 1969371.5876 542936.9416, 1969496.8985 542936.9416, 1969496.8985 542778.7208, 1969371.5876 542778.7208))	12		41	10665	1594667755310	1594667755592	282	4	4	mr-02	0	false	0	true	272	23	6	5	0	0	967	0	0	0	0	0	0	0	0	243	3064	34	2	32	0	0	0	0624	Disks phase
147	10249	147	POLYGON ((1972880.2941 560183.0115, 1972880.2941 561448.7781, 1973882.7816 561448.7781, 1973882.7816 560183.0115, 1972880.2941 560183.0115))	12		41	10249	1594667754193	1594667754469	276	4	9	mr-10	0	false	0	true	267	43	5	4	0	10	1010	0	0	0	0	0	0	0	0	220	10528	116	18	98	0	0	0	0624	Disks phase
260	10362	260	POLYGON ((1985912.6324 570309.1442, 1985912.6324 571574.9108, 1986915.1199 571574.9108, 1986915.1199 570309.1442, 1985912.6324 570309.1442))	12		41	10362	1594667754467	1594667754673	206	4	4	mr-02	0	false	0	true	197	54	5	4	0	0	967	0	0	0	0	0	0	0	0	124	16180	174	8	166	0	0	0	0624	Disks phase
478	10580	478	POLYGON ((1963857.906 546259.5789, 1963857.906 548791.1121, 1965862.8811 548791.1121, 1965862.8811 546259.5789, 1963857.906 546259.5789))	12		41	10580	1594667754966	1594667755350	384	5	4	mr-02	0	false	0	true	375	64	4	3	0	0	967	0	0	0	0	0	0	0	0	289	35208	378	28	350	0	0	0	0624	Disks phase
225	10327	225	POLYGON ((1974384.0254 557651.4783, 1974384.0254 558284.3616, 1974885.2692 558284.3616, 1974885.2692 557651.4783, 1974384.0254 557651.4783))	12		41	10327	1594667754435	1594667754492	57	5	7	mr-09	0	false	0	true	45	28	7	4	0	0	967	0	0	0	0	0	0	0	0	0	5130	56	2	54	0	0	0	0624	Disks phase
