tinstance	cellId	method	epsilon	time	n
320	47	PSI	20	0.00154330332	0
320	48	BFE	10	0.0035942457400000003	0
320	48	BFE	12	0.0035341188400000003	0
320	48	BFE	14	0.0036138734800000003	0
320	48	BFE	16	0.0035568480400000003	0
320	48	BFE	18	0.0036302620799999997	0
320	48	BFE	20	0.00354559942	0
320	48	PSI	10	7.512696e-4	0
320	48	PSI	12	7.5380064e-4	0
320	48	PSI	14	7.495346e-4	0
320	48	PSI	16	7.726515399999999e-4	0
320	48	PSI	18	7.7456574e-4	0
320	48	PSI	20	7.488764e-4	0
320	49	BFE	10	0.00961579244	14
320	49	BFE	12	0.009955010279999999	18
320	49	BFE	14	0.009312537979999999	24
320	49	BFE	16	0.009352769	24
320	49	BFE	18	0.01041458612	29
320	49	BFE	20	0.010071576919999999	32
320	49	PSI	10	0.0029521294600000003	14
320	49	PSI	12	0.00315345916	18
320	49	PSI	14	0.00356025928	24
320	49	PSI	16	0.0034687409599999997	24
320	49	PSI	18	0.00537346542	29
320	49	PSI	20	0.00392956808	32
320	50	BFE	10	0.0031406329999999994	0
320	50	BFE	12	0.0031277158399999998	0
320	50	BFE	14	0.00312453204	0
320	50	BFE	16	0.0030878834	0
320	50	BFE	18	0.00310810434	0
320	50	BFE	20	0.00305959762	0
320	50	PSI	10	5.408662800000001e-4	0
320	50	PSI	12	5.3535424e-4	0
320	50	PSI	14	5.3765458e-4	0
320	50	PSI	16	6.4074952e-4	0
320	50	PSI	18	5.460993600000001e-4	0
320	50	PSI	20	5.3330658e-4	0
320	51	BFE	10	0.00299849786	0
320	51	BFE	12	0.0030873451200000004	0
320	51	BFE	14	0.00308292112	0
320	51	BFE	16	0.0031751192399999996	0
320	51	BFE	18	0.00310606998	0
320	51	BFE	20	0.00310787568	0
320	51	PSI	10	4.9557086e-4	0
320	51	PSI	12	4.6559563999999995e-4	0
320	51	PSI	14	4.5009757999999996e-4	0
320	51	PSI	16	5.7433782e-4	0
320	51	PSI	18	4.5677627999999996e-4	0
320	51	PSI	20	4.670608e-4	0
320	52	BFE	10	0.0036234616	0
320	52	BFE	12	0.00615054808	3
320	52	BFE	14	0.00610308876	3
320	52	BFE	16	0.00627539158	3
320	52	BFE	18	0.006418485979999999	3
320	52	BFE	20	0.00591371736	3
320	52	PSI	10	8.958478799999999e-4	0
320	52	PSI	12	0.0012842297800000001	3
320	52	PSI	14	0.0012330341	3
320	52	PSI	16	0.00126093748	3
320	52	PSI	18	0.00142636424	3
320	52	PSI	20	0.0012430246	3
320	53	BFE	10	0.00903301822	12
320	53	BFE	12	0.008470932240000001	15
320	53	BFE	14	0.00918152534	28
320	53	BFE	16	0.01063759274	31
320	53	BFE	18	0.010166993459999999	32
320	53	BFE	20	0.01085548806	37
320	53	PSI	10	0.0028569870400000003	12
320	53	PSI	12	0.0033309807800000002	15
320	53	PSI	14	0.00384840518	28
320	53	PSI	16	0.00410880168	31
320	53	PSI	18	0.0038876480999999997	32
320	53	PSI	20	0.00529136054	37
320	54	BFE	10	0.00322282006	0
320	54	BFE	12	0.00297730242	0
320	54	BFE	14	0.0035303788600000003	0
320	54	BFE	16	0.00341052074	0
320	54	BFE	18	0.00330219784	0
320	54	BFE	20	0.00330886506	0
320	54	PSI	10	4.8943926e-4	0
320	54	PSI	12	5.096797999999999e-4	0
320	54	PSI	14	5.3629686e-4	0
320	54	PSI	16	6.944760399999999e-4	0
320	54	PSI	18	6.283857399999999e-4	0
320	54	PSI	20	6.69975e-4	0
320	55	BFE	10	0.00294502094	0
320	55	BFE	12	0.00318624914	0
320	55	BFE	14	0.00315810926	0
320	55	BFE	16	0.0032376225599999994	0
320	55	BFE	18	0.00297191502	0
320	55	BFE	20	0.00292002306	0
320	55	PSI	10	4.5772178e-4	0
320	55	PSI	12	4.4498442e-4	0
320	55	PSI	14	4.5793556000000007e-4	0
320	55	PSI	16	4.6156666e-4	0
320	55	PSI	18	4.3450842e-4	0
320	55	PSI	20	4.1967818000000003e-4	0
320	56	BFE	10	0.0066078846400000005	3
320	56	BFE	12	0.006535091820000001	3
320	56	BFE	14	0.00674549978	6
320	56	BFE	16	0.0087305315	12
320	56	BFE	18	0.00736325422	12
320	56	BFE	20	0.007666163120000001	15
320	56	PSI	10	0.00160090794	3
320	56	PSI	12	0.0015550468199999998	3
320	56	PSI	14	0.00197996864	6
320	56	PSI	16	0.0024798193	12
320	56	PSI	18	0.00250054122	12
320	56	PSI	20	0.00291023658	15
320	57	BFE	10	0.00611461156	3
320	57	BFE	12	0.00611801368	3
320	57	BFE	14	0.00653870434	5
320	57	BFE	16	0.007733473659999999	14
