2018-06-07 21:38:52,720 -> 

Iteration Epsilon=50, Mu=5 and Delta=5 has started...
0, 4, 329 1604 3640 4202 7338 9416 11764 11838 14168 17544
0, 4, 329 1604 3640 3658 4202 9416 11764 14168 17544
0, 4, 329 1099 3640 4202 7338 8105 11797 11838 13110 14168 17544
0, 4, 329 1099 3640 4202 7338 9416 11797 11838 13110 14168 17544
0, 4, 329 3640 4202 7338 8105 9416 11838 13110 14168 17544
0, 4, 329 3640 4202 9416 11764 14168 17544 19277 19397
0, 4, 4202 4916 5572 7338 7355 8105 11838 14168
0, 4, 4202 5572 7338 7355 7741 8105 11838 14168
0, 4, 825 7338 7741 8105 11800
0, 4, 1099 4202 7338 7355 8105 11797 11838 13110 14168 17544
0, 4, 329 1099 3640 4202 9416 11797 11838 13110 14168 17544 19277 19397
0, 4, 4583 7282 11874 14278 14310
0, 4, 651 2134 5596 8946 10103 15504 15834
0, 4, 651 2134 4583 5596 8946 10103 15504
0, 4, 7716 10557 12641 15834 16497
0, 4, 651 2134 10103 15266 15834
0, 4, 651 2134 8946 10103 15504 15834 16497
0, 4, 651 2134 7716 8946 12641 15504 15834 16497
0, 4, 651 2134 7716 8946 10103 15504 15834
0, 4, 7716 10557 12136 12641 15215 16497
0, 4, 3094 5045 7773 10680 15290
0, 4, 4538 7039 7417 7477 14978
0, 4, 4538 5791 7039 7477 14978 16401 17373 18484
0, 4, 5791 7039 7477 15796 16401 17373 18484
0, 4, 837 2694 11361 12557 17472
0, 4, 2723 8530 11726 13973 14869 15762
0, 4, 1570 2218 2713 3863 6996 13301 17537
0, 4, 8941 13361 14255 16367 18140 18602
0, 4, 2218 8941 9390 10130 12759 14286 15314 16367 17537 17607 18602
0, 4, 1570 2218 3863 6996 13301 15314 17537 17607
0, 4, 2218 6996 10130 14286 15314 17537 17607 18602
0, 4, 2218 6996 14286 15314 16367 17537 17607 18602
0, 4, 8941 9191 9390 10130 12759 14286 15314 16367 17537 17607 18602
0, 4, 8941 9191 9390 10130 12759 14255 14286 16367 17537 17607 18140 18602
0, 4, 2798 2861 3422 7227 12137
0, 4, 1765 2798 7227 10697 14865 14966
0, 4, 297 2122 2224 4786 6153 13909 14111
0, 4, 297 2122 2224 4786 6153 11492 13909
0, 4, 1765 10697 11451 14865 14966 15411 16000
0, 4, 297 2122 6153 13909 15411 18662
0, 4, 297 2122 2224 6153 13909 15411
0, 4, 297 1765 2122 11451 12178 13909 14865
0, 4, 297 2122 2224 11451 12178 13909 14865
0, 4, 297 1765 2122 11451 13909 14865 14966 15411 16000
0, 4, 297 2122 2224 11451 13909 14865 15411
0, 4, 297 2122 2224 11492 12178 13909
0, 4, 297 2122 11451 13909 14865 14966 15411 16000 18662
0, 4, 7481 8704 14723 14747 17829
0, 4, 1765 7227 10697 14865 14966 16000
0, 4, 3275 7220 8284 15401 15770 18612
0, 4, 3275 7220 8284 13230 15401 18612
0, 4, 3926 5355 5671 6711 14599 18049
0, 4, 3926 5355 5876 6711 14599 17327 18049
0, 4, 5394 6340 7754 8016 18927
0, 4, 10949 11899 13120 14848 19271
0, 4, 5598 5950 6019 7981 9534
0, 4, 6076 8583 9404 11011 11013
0, 4, 8583 9052 9404 11011 11013
0, 4, 1846 5198 6332 7208 17275
0, 4, 7765 10256 10602 12606 15999
